rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,value
126,58,30,18,0.3,0.05,7,NA
126,43,30,23,0.3,2,6,-0.091011289
126,42,30,21,0.260488404,0.05,5,0.339741812
5,47,30,21,0.236293146,2,5,0.392054896
31,74,30,22,0.3,2,4,NA
126,41,30,21,0.3,2,5,0.378523623
126,28,30,18,0.185975912,0.05,5,-0.7438829
67,81,30,17,0.2289126,2,3,NA
126,60,30,17,0.3,2,8,NA
5,90,30,22,0.080284308,2,7,0.052602379
126,0,30,18,0.256805398,2,7,NA
5,0,30,21,0,2,3,-0.318160869
126,90,30,25,0.3,0.05,8,NA
5,0,30,19,0,2,4,-0.590989891
5,90,30,21,0.084224543,2,7,0.457685975
5,0,30,20,0.016139936,2,3,0.644861766
126,90,30,21,0.192411284,2,11,NA
5,90,30,21,0.05699264,2,6,-0.096971467
126,0,30,17,0.218082221,2,5,NA
126,0,30,17,0.3,2,3,NA
126,0,30,24,0.249832823,2,6,NA
126,90,30,22,0.206520433,2,7,NA
5,0,30,23,0.273119575,0.756552628,5,NA
126,90,30,21,0.140579061,2,6,NA
5,0,30,23,0.1895673,2,5,NA
126,0,30,20,0.275696252,0.05,6,NA
126,90,30,21,0.027423898,2,7,NA
126,0,30,22,0.285011166,2,4,NA
5,0,30,21,0.15595864,1.306829678,7,NA
5,90,30,21,0.137334151,2,5,-0.27727434
126,0,30,21,0.254236585,0.05,7,NA
5,90,30,21,0.168709592,2,3,-0.226100259
5,90,30,22,0.165594927,2,4,-0.13269178
126,90,30,21,0.289119783,2,5,NA
126,90,30,21,0.168548232,2,8,NA
58,0,30,21,0.3,2,5,NA
126,0,30,26,0.3,2,8,NA
126,90,30,23,0.299609865,2,4,NA
5,90,30,21,0.11850398,2,6,0.155018652
5,90,30,24,0.280847578,0.05,6,NA
126,0,30,21,0.253032738,2,5,NA
19,90,30,21,0.123706575,2,3,NA
126,0,30,21,0.18953507,2,6,NA
5,90,30,21,0.273208086,0.59349888,4,NA
5,0,30,14,0.3,2,8,NA
50,7,30,12,0.3,2,3,NA
126,0,30,17,0.206024852,2,7,NA
126,18,30,17,0.244286754,2,3,0.202217271
126,57,30,15,0.292759183,2,6,NA
5,90,30,21,0.201421761,2,4,-0.139820788
126,90,30,16,0.3,2,8,NA
5,0,30,20,0,2,5,0.155332733
126,0,30,22,0.3,1.532409722,3,NA
126,29,30,17,0.3,1.687125583,7,0.225524745
118,13,30,24,0.3,2,4,NA
124,25,30,21,0.3,2,4,0.349118264
101,11,30,22,0.3,2,5,NA
105,36,30,16,0.3,2,6,0.364751728
103,19,30,18,0.3,1.016341835,7,0.351188302
104,17,30,16,0.3,1.581369363,5,-0.107138458
79,28,30,13,0.3,2,4,0.135686671
94,48,30,18,0.3,2,4,-0.196430375
105,25,30,19,0.3,2,6,0.113144996
84,29,30,22,0.3,2,4,0.238546925
102,19,30,17,0.3,0.05,6,NA
104,10,30,26,0.3,0.05,3,NA
103,14,30,25,0.3,2,6,NA
102,22,30,5,0.3,1.012591567,6,0.063406275
94,28,30,18,0.287267084,1.905841642,6,0.364751728
100,27,30,16,0.242968256,1.521293967,6,0.316466764
104,18,30,21,0.282507327,1.912888317,5,0.297061404
108,28,30,14,0.3,1.667993263,7,-0.06918906
96,23,30,17,0.288995422,1.539818057,4,-0.100402465
103,26,30,25,0.290998543,1.551357657,7,-0.209058603
100,25,30,18,0.273736815,1.665445503,6,0.364751728
116,21,30,19,0.289862202,1.46741648,5,-0.302662639
104,21,30,23,0.26829996,1.4266285,5,0.198897973
97,16,28,17,0.3,1.493521043,7,NA
102,35,30,20,0.3,1.480346449,5,-0.099578492
104,18,30,23,0.3,1.625270641,5,0.297061404
34,13,17,41,0.042896533,1.495726676,3,NA
104,23,30,18,0.295857635,1.464959198,6,0.364751728
73,37,17,3,0.101066169,0.437502104,17,-0.178707373
126,70,24,44,0.226451658,1.224601575,20,NA
27,84,27,33,0.153931972,1.653821064,15,NA
54,14,22,61,0.142891727,1.991443953,13,NA
42,57,18,30,0.004194858,0.546917339,5,-0.097127667
104,28,30,13,0.286400737,1.292635684,7,-0.06918906
12,10,12,23,0.212108948,0.1316645,8,NA
91,48,13,48,0.070314539,0.892894244,11,-0.095171029
