rsi_timeperiod,rsi_lower,rsi_width,roc_timeperiod,roc_lower,roc_width,rebalance_freq,rsi,roc,freq,value
65,40,10,42,0.01,0.05,5,"(65, 40, 10)","(42, 0.01, 0.05)",5,
35,10,30,22,0.11,0.05,15,"(35, 10, 30)","(22, 0.11, 0.05)",15,
35,10,30,22,0.11,0.35,5,"(35, 10, 30)","(22, 0.11, 0.35)",5,-0.048546934
35,10,30,22,0.11,0.65,15,"(35, 10, 30)","(22, 0.11, 0.65)",15,
35,10,30,22,0.11,0.95,5,"(35, 10, 30)","(22, 0.11, 0.95)",5,-0.048546934
65,40,20,2,0.01,0.35,15,"(65, 40, 20)","(2, 0.01, 0.35)",15,
65,40,20,2,0.01,0.65,5,"(65, 40, 20)","(2, 0.01, 0.65)",5,-0.048546934
65,40,20,2,0.01,0.95,15,"(65, 40, 20)","(2, 0.01, 0.95)",15,
5,40,10,42,0.01,0.35,5,"(5, 40, 10)","(42, 0.01, 0.35)",5,-0.048546934
5,40,10,42,0.01,0.65,15,"(5, 40, 10)","(42, 0.01, 0.65)",15,
5,40,10,42,0.01,0.95,5,"(5, 40, 10)","(42, 0.01, 0.95)",5,
95,40,10,62,0.01,0.35,15,"(95, 40, 10)","(62, 0.01, 0.35)",15,
5,40,20,2,0.01,0.05,5,"(5, 40, 20)","(2, 0.01, 0.05)",5,
95,40,10,62,0.01,0.65,15,"(95, 40, 10)","(62, 0.01, 0.65)",15,
95,40,10,62,0.01,0.95,5,"(95, 40, 10)","(62, 0.01, 0.95)",5,
5,10,30,42,0.21,0.05,15,"(5, 10, 30)","(42, 0.21, 0.05)",15,
35,40,30,42,0.01,0.65,5,"(35, 40, 30)","(42, 0.01, 0.65)",5,
35,40,30,42,0.01,0.95,15,"(35, 40, 30)","(42, 0.01, 0.95)",15,
35,70,10,42,0.11,0.05,5,"(35, 70, 10)","(42, 0.11, 0.05)",5,
35,70,10,42,0.11,0.35,15,"(35, 70, 10)","(42, 0.11, 0.35)",15,
35,70,10,42,0.11,0.65,5,"(35, 70, 10)","(42, 0.11, 0.65)",5,
35,70,10,42,0.11,0.95,15,"(35, 70, 10)","(42, 0.11, 0.95)",15,
35,70,20,42,0.11,0.05,5,"(35, 70, 20)","(42, 0.11, 0.05)",5,
35,70,20,42,0.11,0.35,15,"(35, 70, 20)","(42, 0.11, 0.35)",15,
35,70,20,42,0.11,0.65,5,"(35, 70, 20)","(42, 0.11, 0.65)",5,
35,70,20,42,0.11,0.95,15,"(35, 70, 20)","(42, 0.11, 0.95)",15,
35,70,30,42,0.11,0.05,5,"(35, 70, 30)","(42, 0.11, 0.05)",5,-0.138477535
35,70,30,42,0.11,0.35,15,"(35, 70, 30)","(42, 0.11, 0.35)",15,-0.866429593
35,70,30,42,0.11,0.65,5,"(35, 70, 30)","(42, 0.11, 0.65)",5,-0.126035267
35,70,30,42,0.11,0.95,15,"(35, 70, 30)","(42, 0.11, 0.95)",15,-0.866429593
95,40,10,42,0.01,0.65,5,"(95, 40, 10)","(42, 0.01, 0.65)",5,-0.126035267
95,40,10,42,0.01,0.95,15,"(95, 40, 10)","(42, 0.01, 0.95)",15,-0.866429593
65,40,30,42,0.01,0.65,5,"(65, 40, 30)","(42, 0.01, 0.65)",5,-0.126035267
65,40,30,42,0.01,0.95,15,"(65, 40, 30)","(42, 0.01, 0.95)",15,-0.866429593
95,40,30,42,0.01,0.05,5,"(95, 40, 30)","(42, 0.01, 0.05)",5,
95,40,30,42,0.01,0.65,15,"(95, 40, 30)","(42, 0.01, 0.65)",15,
95,40,30,42,0.01,0.95,5,"(95, 40, 30)","(42, 0.01, 0.95)",5,
65,40,30,42,0.01,0.05,15,"(65, 40, 30)","(42, 0.01, 0.05)",15,
65,40,30,42,0.01,0.35,5,"(65, 40, 30)","(42, 0.01, 0.35)",5,
95,40,30,42,0.01,0.35,15,"(95, 40, 30)","(42, 0.01, 0.35)",15,
5,10,30,42,0.21,0.35,5,"(5, 10, 30)","(42, 0.21, 0.35)",5,
5,10,30,42,0.21,0.65,15,"(5, 10, 30)","(42, 0.21, 0.65)",15,
5,10,30,42,0.21,0.95,5,"(5, 10, 30)","(42, 0.21, 0.95)",5,
35,40,30,42,0.01,0.35,15,"(35, 40, 30)","(42, 0.01, 0.35)",15,
35,40,20,42,0.01,0.05,5,"(35, 40, 20)","(42, 0.01, 0.05)",5,
5,40,20,42,0.01,0.05,15,"(5, 40, 20)","(42, 0.01, 0.05)",15,
65,40,30,2,0.01,0.05,5,"(65, 40, 30)","(2, 0.01, 0.05)",5,
35,10,30,22,0.01,0.35,15,"(35, 10, 30)","(22, 0.01, 0.35)",15,
35,10,30,22,0.01,0.65,5,"(35, 10, 30)","(22, 0.01, 0.65)",5,
35,10,30,22,0.01,0.95,15,"(35, 10, 30)","(22, 0.01, 0.95)",15,
65,40,20,42,0.01,0.05,5,"(65, 40, 20)","(42, 0.01, 0.05)",5,-0.13672053
65,40,20,42,0.01,0.65,15,"(65, 40, 20)","(42, 0.01, 0.65)",15,-0.678818206
65,40,20,42,0.01,0.95,5,"(65, 40, 20)","(42, 0.01, 0.95)",5,-0.072757108
65,40,20,42,0.01,0.35,15,"(65, 40, 20)","(42, 0.01, 0.35)",15,-0.586530819
5,40,10,2,0.01,0.05,5,"(5, 40, 10)","(2, 0.01, 0.05)",5,-0.072757108
35,40,20,2,0.01,0.35,15,"(35, 40, 20)","(2, 0.01, 0.35)",15,-0.586530819
35,40,20,2,0.01,0.65,5,"(35, 40, 20)","(2, 0.01, 0.65)",5,-0.072757108
35,40,20,2,0.01,0.95,15,"(35, 40, 20)","(2, 0.01, 0.95)",15,-0.586530819
95,40,20,2,0.01,0.05,5,"(95, 40, 20)","(2, 0.01, 0.05)",5,
35,40,20,2,0.01,0.05,15,"(35, 40, 20)","(2, 0.01, 0.05)",15,
95,40,30,2,0.01,0.05,5,"(95, 40, 30)","(2, 0.01, 0.05)",5,
95,40,10,62,0.11,0.65,15,"(95, 40, 10)","(62, 0.11, 0.65)",15,
95,40,10,62,0.11,0.95,5,"(95, 40, 10)","(62, 0.11, 0.95)",5,
35,40,20,62,0.21,0.05,15,"(35, 40, 20)","(62, 0.21, 0.05)",15,
95,40,10,62,0.11,0.05,5,"(95, 40, 10)","(62, 0.11, 0.05)",5,
5,40,10,42,0.01,0.35,15,"(5, 40, 10)","(42, 0.01, 0.35)",15,
95,40,10,62,0.11,0.35,5,"(95, 40, 10)","(62, 0.11, 0.35)",5,
95,40,10,42,0.01,0.35,15,"(95, 40, 10)","(42, 0.01, 0.35)",15,
65,40,20,62,0.21,0.05,5,"(65, 40, 20)","(62, 0.21, 0.05)",5,
5,40,20,2,0.01,0.35,15,"(5, 40, 20)","(2, 0.01, 0.35)",15,
5,40,20,2,0.01,0.65,5,"(5, 40, 20)","(2, 0.01, 0.65)",5,
5,40,20,2,0.01,0.95,15,"(5, 40, 20)","(2, 0.01, 0.95)",15,
5,10,30,2,0.11,0.05,5,"(5, 10, 30)","(2, 0.11, 0.05)",5,
65,10,30,2,0.11,0.05,15,"(65, 10, 30)","(2, 0.11, 0.05)",15,
95,10,30,2,0.11,0.05,5,"(95, 10, 30)","(2, 0.11, 0.05)",5,0.3599653
95,10,30,2,0.11,0.35,15,"(95, 10, 30)","(2, 0.11, 0.35)",15,0.269517467
95,10,30,2,0.11,0.65,5,"(95, 10, 30)","(2, 0.11, 0.65)",5,0.3599653
95,10,30,2,0.11,0.95,15,"(95, 10, 30)","(2, 0.11, 0.95)",15,0.269517467
65,40,20,42,0.01,0.65,5,"(65, 40, 20)","(42, 0.01, 0.65)",5,0.3599653
65,40,20,42,0.01,0.95,15,"(65, 40, 20)","(42, 0.01, 0.95)",15,0.269517467
5,10,20,2,0.01,0.05,5,"(5, 10, 20)","(2, 0.01, 0.05)",5,0.3599653
5,10,20,2,0.01,0.35,15,"(5, 10, 20)","(2, 0.01, 0.35)",15,0.269517467
5,10,20,2,0.01,0.65,5,"(5, 10, 20)","(2, 0.01, 0.65)",5,
5,10,20,2,0.01,0.95,15,"(5, 10, 20)","(2, 0.01, 0.95)",15,
35,40,30,42,0.01,0.05,5,"(35, 40, 30)","(42, 0.01, 0.05)",5,
5,40,30,2,0.01,0.05,15,"(5, 40, 30)","(2, 0.01, 0.05)",15,
5,40,10,62,0.01,0.35,5,"(5, 40, 10)","(62, 0.01, 0.35)",5,
5,40,10,62,0.01,0.65,15,"(5, 40, 10)","(62, 0.01, 0.65)",15,
5,40,10,62,0.01,0.95,5,"(5, 40, 10)","(62, 0.01, 0.95)",5,
5,10,30,42,0.11,0.35,15,"(5, 10, 30)","(42, 0.11, 0.35)",15,
5,10,30,42,0.11,0.65,5,"(5, 10, 30)","(42, 0.11, 0.65)",5,
5,10,30,42,0.11,0.95,15,"(5, 10, 30)","(42, 0.11, 0.95)",15,
35,10,30,2,0.11,0.05,5,"(35, 10, 30)","(2, 0.11, 0.05)",5,
5,40,30,62,0.21,0.05,15,"(5, 40, 30)","(62, 0.21, 0.05)",15,
65,40,20,42,0.11,0.35,5,"(65, 40, 20)","(42, 0.11, 0.35)",5,
65,40,20,42,0.11,0.65,15,"(65, 40, 20)","(42, 0.11, 0.65)",15,
65,40,20,42,0.11,0.95,5,"(65, 40, 20)","(42, 0.11, 0.95)",5,
65,40,20,42,0.01,0.35,15,"(65, 40, 20)","(42, 0.01, 0.35)",15,
65,40,30,2,0.01,0.35,5,"(65, 40, 30)","(2, 0.01, 0.35)",5,-0.235085163
65,40,30,2,0.01,0.65,15,"(65, 40, 30)","(2, 0.01, 0.65)",15,-0.299806152
65,40,30,2,0.01,0.95,5,"(65, 40, 30)","(2, 0.01, 0.95)",5,-0.235085163
5,70,30,42,0.01,0.05,15,"(5, 70, 30)","(42, 0.01, 0.05)",15,-0.299806152
5,70,10,42,0.11,0.05,5,"(5, 70, 10)","(42, 0.11, 0.05)",5,-0.235085163
35,40,30,2,0.01,0.35,15,"(35, 40, 30)","(2, 0.01, 0.35)",15,-0.299806152
35,40,30,2,0.01,0.65,5,"(35, 40, 30)","(2, 0.01, 0.65)",5,-0.235085163
35,40,30,2,0.01,0.95,15,"(35, 40, 30)","(2, 0.01, 0.95)",15,-0.299806152
95,40,20,42,0.01,0.05,5,"(95, 40, 20)","(42, 0.01, 0.05)",5,
5,10,10,2,0.01,0.05,15,"(5, 10, 10)","(2, 0.01, 0.05)",15,
5,10,10,2,0.01,0.35,5,"(5, 10, 10)","(2, 0.01, 0.35)",5,
5,10,10,2,0.01,0.65,15,"(5, 10, 10)","(2, 0.01, 0.65)",15,
5,10,10,2,0.01,0.95,5,"(5, 10, 10)","(2, 0.01, 0.95)",5,
95,40,30,42,0.01,0.65,15,"(95, 40, 30)","(42, 0.01, 0.65)",15,
95,40,30,42,0.01,0.95,5,"(95, 40, 30)","(42, 0.01, 0.95)",5,
5,40,10,42,0.01,0.65,15,"(5, 40, 10)","(42, 0.01, 0.65)",15,
5,40,10,42,0.01,0.95,5,"(5, 40, 10)","(42, 0.01, 0.95)",5,
35,40,30,2,0.01,0.05,15,"(35, 40, 30)","(2, 0.01, 0.05)",15,
5,40,20,22,0.21,0.35,5,"(5, 40, 20)","(22, 0.21, 0.35)",5,
5,40,20,22,0.21,0.65,15,"(5, 40, 20)","(22, 0.21, 0.65)",15,
5,40,20,22,0.21,0.95,5,"(5, 40, 20)","(22, 0.21, 0.95)",5,
65,40,30,42,0.01,0.65,15,"(65, 40, 30)","(42, 0.01, 0.65)",15,
65,40,30,42,0.01,0.95,5,"(65, 40, 30)","(42, 0.01, 0.95)",5,
65,40,20,62,0.21,0.35,15,"(65, 40, 20)","(62, 0.21, 0.35)",15,
65,40,20,62,0.21,0.65,5,"(65, 40, 20)","(62, 0.21, 0.65)",5,-0.071807852
35,40,20,42,0.01,0.65,15,"(35, 40, 20)","(42, 0.01, 0.65)",15,-0.724309705
35,40,20,42,0.01,0.95,5,"(35, 40, 20)","(42, 0.01, 0.95)",5,-0.218975489
95,40,20,2,0.01,0.35,15,"(95, 40, 20)","(2, 0.01, 0.35)",15,-0.614586655
95,40,20,2,0.01,0.65,5,"(95, 40, 20)","(2, 0.01, 0.65)",5,-0.218975489
95,40,20,2,0.01,0.95,15,"(95, 40, 20)","(2, 0.01, 0.95)",15,-0.614586655
65,40,10,62,0.01,0.35,5,"(65, 40, 10)","(62, 0.01, 0.35)",5,-0.218975489
65,40,10,62,0.01,0.65,15,"(65, 40, 10)","(62, 0.01, 0.65)",15,-0.614586655
65,40,10,62,0.01,0.95,5,"(65, 40, 10)","(62, 0.01, 0.95)",5,-0.390296641
95,40,30,2,0.01,0.35,15,"(95, 40, 30)","(2, 0.01, 0.35)",15,0.599012475
95,40,30,2,0.01,0.65,5,"(95, 40, 30)","(2, 0.01, 0.65)",5,-0.390296641
95,40,30,2,0.01,0.95,15,"(95, 40, 30)","(2, 0.01, 0.95)",15,0.599012475
35,10,30,2,0.11,0.35,5,"(35, 10, 30)","(2, 0.11, 0.35)",5,-0.390296641
35,10,30,2,0.11,0.65,15,"(35, 10, 30)","(2, 0.11, 0.65)",15,0.599012475
35,10,30,2,0.11,0.95,5,"(35, 10, 30)","(2, 0.11, 0.95)",5,-0.390296641
65,40,10,42,0.01,0.05,15,"(65, 40, 10)","(42, 0.01, 0.05)",15,0.599012475
95,40,30,42,0.01,0.35,5,"(95, 40, 30)","(42, 0.01, 0.35)",5,
5,70,30,22,0.01,0.05,15,"(5, 70, 30)","(22, 0.01, 0.05)",15,
65,40,20,62,0.21,0.95,5,"(65, 40, 20)","(62, 0.21, 0.95)",5,
65,40,30,42,0.01,0.35,15,"(65, 40, 30)","(42, 0.01, 0.35)",15,
5,40,30,42,0.01,0.05,5,"(5, 40, 30)","(42, 0.01, 0.05)",5,
35,40,20,62,0.21,0.35,15,"(35, 40, 20)","(62, 0.21, 0.35)",15,
35,40,20,62,0.21,0.65,5,"(35, 40, 20)","(62, 0.21, 0.65)",5,
35,40,20,62,0.21,0.95,15,"(35, 40, 20)","(62, 0.21, 0.95)",15,
5,70,20,42,0.01,0.05,5,"(5, 70, 20)","(42, 0.01, 0.05)",5,-0.716799041
35,40,20,42,0.01,0.35,15,"(35, 40, 20)","(42, 0.01, 0.35)",15,-0.416330524
95,40,20,42,0.01,0.65,5,"(95, 40, 20)","(42, 0.01, 0.65)",5,-0.805576081
95,40,20,42,0.01,0.95,15,"(95, 40, 20)","(42, 0.01, 0.95)",15,-0.350117629
5,70,10,42,0.11,0.35,5,"(5, 70, 10)","(42, 0.11, 0.35)",5,-0.805576081
5,70,10,42,0.11,0.65,15,"(5, 70, 10)","(42, 0.11, 0.65)",15,-0.350117629
5,70,10,42,0.11,0.95,5,"(5, 70, 10)","(42, 0.11, 0.95)",5,-0.805576081
95,40,20,42,0.01,0.35,15,"(95, 40, 20)","(42, 0.01, 0.35)",15,-0.350117629
35,40,20,42,0.01,0.65,5,"(35, 40, 20)","(42, 0.01, 0.65)",5,-0.694108787
35,40,20,42,0.01,0.95,15,"(35, 40, 20)","(42, 0.01, 0.95)",15,
5,40,30,2,0.01,0.35,5,"(5, 40, 30)","(2, 0.01, 0.35)",5,-0.115714617
5,40,30,2,0.01,0.65,15,"(5, 40, 30)","(2, 0.01, 0.65)",15,
5,40,30,2,0.01,0.95,5,"(5, 40, 30)","(2, 0.01, 0.95)",5,-0.115714617
5,40,30,42,0.21,0.05,15,"(5, 40, 30)","(42, 0.21, 0.05)",15,
5,10,20,2,0.01,0.05,5,"(5, 10, 20)","(2, 0.01, 0.05)",5,-0.115714617
5,10,20,2,0.01,0.35,15,"(5, 10, 20)","(2, 0.01, 0.35)",15,
5,10,20,2,0.01,0.65,5,"(5, 10, 20)","(2, 0.01, 0.65)",5,
5,10,20,2,0.01,0.95,15,"(5, 10, 20)","(2, 0.01, 0.95)",15,
5,40,10,62,0.11,0.05,5,"(5, 40, 10)","(62, 0.11, 0.05)",5,-0.348732708
35,70,10,62,0.01,0.35,15,"(35, 70, 10)","(62, 0.01, 0.35)",15,
35,70,10,62,0.01,0.65,5,"(35, 70, 10)","(62, 0.01, 0.65)",5,-0.348732708
35,70,10,62,0.01,0.95,15,"(35, 70, 10)","(62, 0.01, 0.95)",15,
35,70,20,62,0.01,0.35,5,"(35, 70, 20)","(62, 0.01, 0.35)",5,-0.348732708
35,70,20,62,0.01,0.65,15,"(35, 70, 20)","(62, 0.01, 0.65)",15,
35,70,20,62,0.01,0.95,5,"(35, 70, 20)","(62, 0.01, 0.95)",5,-0.241197383
35,70,30,62,0.01,0.35,15,"(35, 70, 30)","(62, 0.01, 0.35)",15,0.067139112
35,70,30,62,0.01,0.65,5,"(35, 70, 30)","(62, 0.01, 0.65)",5,-0.299311853
35,70,30,62,0.01,0.95,15,"(35, 70, 30)","(62, 0.01, 0.95)",15,0.067139112
65,70,10,22,0.01,0.05,5,"(65, 70, 10)","(22, 0.01, 0.05)",5,-0.299311853
65,70,10,22,0.01,0.35,15,"(65, 70, 10)","(22, 0.01, 0.35)",15,0.067139112
65,70,10,22,0.01,0.65,5,"(65, 70, 10)","(22, 0.01, 0.65)",5,-0.299311853
65,70,10,22,0.01,0.95,15,"(65, 70, 10)","(22, 0.01, 0.95)",15,0.067139112
65,70,10,42,0.01,0.35,5,"(65, 70, 10)","(42, 0.01, 0.35)",5,0.37135836
65,70,10,42,0.01,0.65,15,"(65, 70, 10)","(42, 0.01, 0.65)",15,
65,70,10,42,0.01,0.95,5,"(65, 70, 10)","(42, 0.01, 0.95)",5,0.167761754
65,70,10,62,0.01,0.35,15,"(65, 70, 10)","(62, 0.01, 0.35)",15,
65,70,10,62,0.01,0.65,5,"(65, 70, 10)","(62, 0.01, 0.65)",5,0.167761754
65,70,10,62,0.01,0.95,15,"(65, 70, 10)","(62, 0.01, 0.95)",15,
65,70,20,22,0.01,0.05,5,"(65, 70, 20)","(22, 0.01, 0.05)",5,0.167761754
65,70,20,22,0.01,0.35,15,"(65, 70, 20)","(22, 0.01, 0.35)",15,
65,70,20,22,0.01,0.65,5,"(65, 70, 20)","(22, 0.01, 0.65)",5,
65,70,20,22,0.01,0.95,15,"(65, 70, 20)","(22, 0.01, 0.95)",15,
65,70,20,42,0.01,0.35,5,"(65, 70, 20)","(42, 0.01, 0.35)",5,
65,70,20,42,0.01,0.65,15,"(65, 70, 20)","(42, 0.01, 0.65)",15,
65,70,20,42,0.01,0.95,5,"(65, 70, 20)","(42, 0.01, 0.95)",5,
65,70,20,62,0.01,0.35,15,"(65, 70, 20)","(62, 0.01, 0.35)",15,
65,70,20,62,0.01,0.65,5,"(65, 70, 20)","(62, 0.01, 0.65)",5,
65,70,20,62,0.01,0.95,15,"(65, 70, 20)","(62, 0.01, 0.95)",15,
65,70,30,22,0.01,0.05,5,"(65, 70, 30)","(22, 0.01, 0.05)",5,-0.535901224
65,70,30,22,0.01,0.35,15,"(65, 70, 30)","(22, 0.01, 0.35)",15,-0.300836778
65,70,30,22,0.01,0.65,5,"(65, 70, 30)","(22, 0.01, 0.65)",5,-0.566219382
65,70,30,22,0.01,0.95,15,"(65, 70, 30)","(22, 0.01, 0.95)",15,-0.19214428
65,70,30,42,0.01,0.35,5,"(65, 70, 30)","(42, 0.01, 0.35)",5,-0.566219382
65,70,30,42,0.01,0.65,15,"(65, 70, 30)","(42, 0.01, 0.65)",15,-0.19214428
65,70,30,42,0.01,0.95,5,"(65, 70, 30)","(42, 0.01, 0.95)",5,-0.566219382
65,70,30,62,0.01,0.35,15,"(65, 70, 30)","(62, 0.01, 0.35)",15,-0.19214428
65,70,30,62,0.01,0.65,5,"(65, 70, 30)","(62, 0.01, 0.65)",5,
65,70,30,62,0.01,0.95,15,"(65, 70, 30)","(62, 0.01, 0.95)",15,
35,40,20,42,0.01,0.35,5,"(35, 40, 20)","(42, 0.01, 0.35)",5,
5,70,10,2,0.01,0.05,15,"(5, 70, 10)","(2, 0.01, 0.05)",15,
5,70,10,2,0.01,0.35,5,"(5, 70, 10)","(2, 0.01, 0.35)",5,
5,70,10,2,0.01,0.65,15,"(5, 70, 10)","(2, 0.01, 0.65)",15,
5,70,10,2,0.01,0.95,5,"(5, 70, 10)","(2, 0.01, 0.95)",5,
5,10,30,42,0.11,0.35,15,"(5, 10, 30)","(42, 0.11, 0.35)",15,
5,10,30,42,0.11,0.65,5,"(5, 10, 30)","(42, 0.11, 0.65)",5,
5,10,30,42,0.11,0.95,15,"(5, 10, 30)","(42, 0.11, 0.95)",15,
65,40,10,22,0.11,0.05,5,"(65, 40, 10)","(22, 0.11, 0.05)",5,
65,40,10,62,0.01,0.05,15,"(65, 40, 10)","(62, 0.01, 0.05)",15,
5,10,30,42,0.21,0.35,5,"(5, 10, 30)","(42, 0.21, 0.35)",5,
5,10,30,42,0.21,0.65,15,"(5, 10, 30)","(42, 0.21, 0.65)",15,
5,10,30,42,0.21,0.95,5,"(5, 10, 30)","(42, 0.21, 0.95)",5,
35,40,30,62,0.01,0.35,15,"(35, 40, 30)","(62, 0.01, 0.35)",15,
5,40,10,62,0.11,0.05,5,"(5, 40, 10)","(62, 0.11, 0.05)",5,-0.182511793
5,40,10,2,0.01,0.35,15,"(5, 40, 10)","(2, 0.01, 0.35)",15,-0.520135293
5,40,10,2,0.01,0.65,5,"(5, 40, 10)","(2, 0.01, 0.65)",5,-0.331318713
5,40,10,2,0.01,0.95,15,"(5, 40, 10)","(2, 0.01, 0.95)",15,-0.389938892
95,40,10,62,0.11,0.35,5,"(95, 40, 10)","(62, 0.11, 0.35)",5,-0.331318713
95,40,10,62,0.11,0.65,15,"(95, 40, 10)","(62, 0.11, 0.65)",15,-0.389938892
95,40,10,62,0.11,0.95,5,"(95, 40, 10)","(62, 0.11, 0.95)",5,-0.331318713
35,40,30,42,0.01,0.65,15,"(35, 40, 30)","(42, 0.01, 0.65)",15,-0.389938892
35,40,30,42,0.01,0.95,5,"(35, 40, 30)","(42, 0.01, 0.95)",5,0.150581894
5,70,30,42,0.11,0.05,15,"(5, 70, 30)","(42, 0.11, 0.05)",15,0.030957371
95,40,30,62,0.01,0.35,5,"(95, 40, 30)","(62, 0.01, 0.35)",5,0.353708732
65,40,30,62,0.01,0.35,15,"(65, 40, 30)","(62, 0.01, 0.35)",15,0.254428952
95,40,10,22,0.11,0.05,5,"(95, 40, 10)","(22, 0.11, 0.05)",5,0.353708732
95,40,10,2,0.11,0.35,15,"(95, 40, 10)","(2, 0.11, 0.35)",15,0.254428952
95,40,10,2,0.11,0.65,5,"(95, 40, 10)","(2, 0.11, 0.65)",5,0.353708732
95,40,10,2,0.11,0.95,15,"(95, 40, 10)","(2, 0.11, 0.95)",15,0.254428952
95,40,20,2,0.11,0.35,5,"(95, 40, 20)","(2, 0.11, 0.35)",5,0.457115053
95,40,20,2,0.11,0.65,15,"(95, 40, 20)","(2, 0.11, 0.65)",15,0.147019131
95,40,20,2,0.11,0.95,5,"(95, 40, 20)","(2, 0.11, 0.95)",5,0.429873192
95,40,30,2,0.11,0.35,15,"(95, 40, 30)","(2, 0.11, 0.35)",15,0.248654231
95,40,30,2,0.11,0.65,5,"(95, 40, 30)","(2, 0.11, 0.65)",5,0.429873192
95,40,30,2,0.11,0.95,15,"(95, 40, 30)","(2, 0.11, 0.95)",15,0.248654231
5,40,10,62,0.11,0.35,5,"(5, 40, 10)","(62, 0.11, 0.35)",5,0.429873192
5,40,10,62,0.11,0.65,15,"(5, 40, 10)","(62, 0.11, 0.65)",15,0.248654231
5,40,10,62,0.11,0.95,5,"(5, 40, 10)","(62, 0.11, 0.95)",5,-0.873886356
5,70,20,22,0.01,0.05,15,"(5, 70, 20)","(22, 0.01, 0.05)",15,-0.581090969
65,40,10,2,0.01,0.05,5,"(65, 40, 10)","(2, 0.01, 0.05)",5,-0.890941881
5,70,10,42,0.01,0.05,15,"(5, 70, 10)","(42, 0.01, 0.05)",15,-0.343194201
5,70,30,42,0.11,0.35,5,"(5, 70, 30)","(42, 0.11, 0.35)",5,-0.890941881
5,70,30,42,0.11,0.65,15,"(5, 70, 30)","(42, 0.11, 0.65)",15,-0.343194201
5,70,30,42,0.11,0.95,5,"(5, 70, 30)","(42, 0.11, 0.95)",5,-0.890941881
5,70,20,42,0.11,0.05,15,"(5, 70, 20)","(42, 0.11, 0.05)",15,-0.343194201
95,40,20,42,0.01,0.65,5,"(95, 40, 20)","(42, 0.01, 0.65)",5,-0.553654992
95,40,20,42,0.01,0.95,15,"(95, 40, 20)","(42, 0.01, 0.95)",15,-0.458571377
5,40,10,62,0.01,0.35,5,"(5, 40, 10)","(62, 0.01, 0.35)",5,-0.069281466
65,40,10,42,0.01,0.35,15,"(65, 40, 10)","(42, 0.01, 0.35)",15,-0.166345322
65,40,10,42,0.01,0.65,5,"(65, 40, 10)","(42, 0.01, 0.65)",5,-0.069281466
65,40,10,42,0.01,0.95,15,"(65, 40, 10)","(42, 0.01, 0.95)",15,-0.166345322
95,40,10,42,0.01,0.05,5,"(95, 40, 10)","(42, 0.01, 0.05)",5,-0.069281466
5,70,20,62,0.01,0.05,15,"(5, 70, 20)","(62, 0.01, 0.05)",15,-0.166345322
35,40,30,42,0.01,0.35,5,"(35, 40, 30)","(42, 0.01, 0.35)",5,0.016180583
35,40,30,62,0.01,0.65,15,"(35, 40, 30)","(62, 0.01, 0.65)",15,
35,40,30,62,0.01,0.95,5,"(35, 40, 30)","(62, 0.01, 0.95)",5,-0.141046492
5,40,30,22,0.21,0.35,15,"(5, 40, 30)","(22, 0.21, 0.35)",15,
5,40,30,22,0.21,0.65,5,"(5, 40, 30)","(22, 0.21, 0.65)",5,-0.141046492
