Date,SMB,HML,Mom,bond_index,equity_index,commodity_index,spx
1987-01-30,0.19,0.3,-0.07,0.013939046392484,0.09377356525934344,0.04720365821564654,0.11552440378172268
1987-02-27,0.1,-0.12,-0.16,0.006781553072746416,0.027537202809690742,-0.07025846759265975,0.033842616193926034
1987-03-31,0.01,-0.21,0.53,-0.004670021663947255,0.05665196600705613,0.06272314718050964,0.022849789535857923
1987-04-30,-0.44,0.08,0.44,-0.027572439175471697,0.05360320847414224,0.03028569453629948,-0.014734474717168267
1987-05-29,0.57,0.35,-0.2,-0.004071720220903741,-0.00992240374827047,0.009716220184588398,0.0028433571943125013
1987-06-30,1.01,0.51,0.05,0.013601864529049656,-0.005537023387003126,0.016099190042151656,0.04425331491449991
1987-07-31,0.11,0.15,0.23,-0.000939127554457686,0.018998384039877525,0.008063113765431229,0.04455849818384339
1987-08-31,-0.16,0.12,0.21,-0.00552623309794098,0.05388095725455755,-0.025981941249649476,0.031277426337769754
1987-09-30,0.66,-0.06,-0.05,-0.021480334869525275,-0.01265198291464964,-0.004944268729624168,-0.02787636105425839
1987-10-30,3.16,-0.93,1.93,0.035467591331716175,-0.17190968551330899,-0.0014609521425591465,-0.21626732095748824
1987-11-30,0.68,0.85,0.14,0.007860292586925777,-0.02437957032171645,-0.016259691879236704,-0.09908303527364781
1987-12-31,1.01,-0.04,0.12,0.013461497764696517,0.03771939731146934,-0.046012629123852844,0.06904546925818544
1988-01-29,-0.67,-0.04,-0.53,0.034993214349939405,0.008758253414958839,-0.002866406905950969,0.037905824191047266
1988-02-29,-0.52,-0.41,-0.62,0.011712471911962563,0.04328046456178303,-0.02017611944430675,0.038506929862616834
1988-03-31,0.66,0.09,-0.5,-0.00954531421413407,0.0246966054351363,0.04139993145491783,-0.036907777472504955
1988-04-29,0.91,-0.13,0.12,-0.005565451184127657,0.007527101091616251,0.01886839442733579,0.006079053817577451
1988-05-31,-2.07,-0.19,-0.54,-0.006902559300513089,-0.018542469597885525,0.013274051393127984,-0.000528899557571183
1988-06-30,0.28,-0.54,-0.48,0.02394087816899315,-0.0190917365661869,-0.043095061526825296,0.02163240615966
1988-07-29,-1.29,-0.25,-0.37,-0.005440225727218473,0.021769289646389023,-0.014375234461006081,-0.009178327020269439
1988-08-31,0.62,0.33,0.02,0.0024158265003406676,-0.0609426371265821,-0.01568162940232698,-0.04300738696442685
1988-09-30,0.62,0.21,0.24,0.0,0.023324664146353147,-0.027743554446913232,0.03808243829868396
1988-10-31,-0.07,-0.02,-0.06,0.01861861996449976,0.054262653502039404,0.012268559324664086,0.021092782628349127
1988-11-30,-0.03,-0.31,0.35,-0.012368676393886724,0.020272465445145826,0.043314616656128235,-0.0021528056712868393
1988-12-30,1.39,-0.29,-0.22,0.0008968147493777501,-0.0040221548840483345,0.05471275405188303,0.009838826796772837
1989-01-31,-0.24,-0.18,0.13,0.009658767012916902,0.03573432801320564,-0.019937408191212924,0.06512101741555587
1989-02-28,-0.02,0.12,0.19,-0.011797510454288784,-0.011148232851786677,0.021456570149751775,-0.03339908752615095
1989-03-31,-0.19,0.11,-0.15,-0.0011879738817531793,-0.009892231771583826,0.05444572347875365,0.015207757549685397
1989-04-28,0.2,-0.03,0.29,0.01593580420313101,0.016421450645970337,-0.004943640978263497,0.04496413465739901
1989-05-31,0.12,0.04,-0.01,0.020899074723636613,-0.03146823222800876,-0.05091531013058659,0.029714562577957793
1989-06-30,0.1,0.38,-0.5,0.025239412416996343,-0.017919793379129967,-0.001208864377060248,-0.01294800561739462
1989-07-31,-0.82,0.08,-0.09,0.016716697111775147,0.10181393483452772,-0.05558835524529171,0.08354690164497258
1989-08-31,0.12,0.2,-0.31,-0.019873724963250017,-0.03071037258731979,0.019254808735360784,0.010309782531000344
1989-09-29,0.12,0.03,0.3,0.0007266451823924047,0.021920821866238116,0.04581525795207053,-0.010887105453935342
1989-10-31,-0.75,-0.19,0.35,0.02000390419736986,-0.0394965735917141,-0.022295379717428676,-0.02978810076989047
1989-11-30,-0.52,-0.21,0.15,0.0049350776948933195,0.03334369914023605,0.007195365868782,0.011914686624288073
1989-12-29,0.33,-0.28,0.22,-0.001637655256872761,0.026106919602282064,0.07452049106375624,0.01702660696414382
1990-01-31,-1.22,-0.16,0.19,-0.016567241008304978,-0.052814646459557135,-0.04518137019064705,-0.07324339556715087
1990-02-28,0.15,-0.12,-0.39,-0.0009270701825462302,-0.04872368936917937,-0.018628127601865274,0.004355154519470439
1990-03-30,0.37,0.02,0.39,-0.004171857978215843,-0.06677807952618353,0.008657709677319492,0.019236428356498525
1990-04-30,-0.31,-0.65,0.36,-0.01351062211754872,-0.020862147333401193,-0.027802816802689367,-0.031162289455602066
1990-05-31,0.05,-0.19,0.0,0.02466617458203646,0.09781644023200964,-0.026004006885405495,0.08676137445206367
1990-06-29,0.26,-0.01,-0.16,0.011395289112558382,-0.01347259179861171,-0.03390220958111734,-0.01342753227892024
1990-07-31,-0.38,0.23,0.52,0.009252879804876324,0.0024739071415840197,0.06370458921331457,-0.009721302827926048
1990-08-31,-0.78,-0.2,-0.18,-0.01812331658522981,-0.09987124515673895,0.14007550443845518,-0.09870845135569517
1990-09-28,-1.0,-1.15,-0.49,0.004298433511903621,-0.11127034643721334,0.1937654770473929,-0.0549365982858675
1990-10-31,-0.09,0.4,0.2,0.00819385605336942,0.08593591805781342,-0.08136202399533976,-0.011315244033058836
1990-11-30,-0.67,-0.45,0.08,0.0174612047077225,-0.02291095076451699,-0.09109550826764701,0.05551249663080071
1990-12-31,0.8,-0.56,-0.08,0.01173453804323299,0.014672629035401119,-0.03723736876447603,0.02094761652214583
1991-01-31,0.68,-0.42,-0.72,0.002582072041779293,0.030599781359738287,-0.0830472535128618,0.0496923584271558
1991-02-28,0.79,0.88,-1.02,0.005331940200027141,0.08681897637565061,-0.01965301808999176,0.06390020553473019
1991-03-29,0.72,-0.01,0.26,0.00353155905340663,-0.03471864102668354,0.011741988551277727,0.018802840873393345
1991-04-30,-1.12,0.43,-0.43,0.00729877332237705,0.0023912964416430427,0.006112996345654986,-0.0031533783596148224
1991-05-31,0.03,0.2,-1.06,0.002759294228483533,0.017139331016120085,-0.019184568938144464,0.03507454836069068
1991-06-28,0.83,-0.02,-0.15,-0.0036479588629831916,-0.06651335463918528,-0.04161101511743981,-0.05089066809377385
1991-07-31,0.36,-0.43,0.18,0.010367977115167681,0.041464305423786874,0.03116028970624196,0.041257821237941084
1991-08-30,0.45,-0.16,-0.29,0.018267092189744538,-0.008379738060445674,0.0006146246593015103,0.016282077794304683
1991-09-30,0.11,-0.04,0.04,0.017272395094380055,0.021100542661583788,0.003719711357858202,-0.022025039516478828
1991-10-31,0.75,-0.43,0.34,0.007857704649822717,0.014286053958840528,0.03272871897984131,0.008450269758709661
1991-11-29,0.66,-0.37,0.16,0.006847238754788432,-0.04806373336530012,-0.045001708025460996,-0.04638572704304267
1991-12-31,0.55,0.12,-0.69,0.027229606727089628,0.0680642880650697,-0.07160780524105581,0.10893188855226787
1992-01-31,0.84,-0.11,0.51,-0.015815847971290542,-0.02267971713084216,0.0283058082317722,-0.02220172168074863
1992-02-28,0.17,0.28,0.13,0.004439277132672448,-0.02128003738483708,-0.005197515070593961,0.007495929308336313
1992-03-31,0.29,0.1,0.03,-0.008109321046549267,-0.05139667319250185,0.01375438405510776,-0.024265131565289977
1992-04-30,0.64,-0.72,-0.17,0.005005736956981366,0.009546189093867952,0.026878238045072056,0.025631625426363103
1992-05-29,0.63,0.05,0.49,0.016402507417381473,0.026961394512805548,0.016763687274688133,-0.0013528678806323802
1992-06-30,0.83,0.06,0.47,0.011484456148391997,-0.037700835752889295,-0.013270234281263837,-0.01957010624747202
1992-07-31,0.41,-0.18,0.09,0.018403292696330453,-0.0016082656051041866,-0.023899102837935948,0.03733931777748878
1992-08-31,0.05,0.21,-0.16,0.008278987274874083,0.020321195839285267,-0.0033949234403682915,-0.025789149526975752
1992-09-30,0.48,0.1,0.32,0.010129323322096484,-0.011130376645109075,0.0017592404853101762,0.007385699188469319
1992-10-30,0.78,-0.06,-0.68,-0.014914587473080498,-0.0307924730819088,-0.026512756272901394,0.0003462532053564171
1992-11-30,0.19,0.51,0.04,-0.0014333429674321385,0.014030582963038496,-0.01440056936753964,0.028467203186312462
1992-12-31,1.47,0.0,-0.29,0.01389565194263187,0.004035691573002653,0.0030707320149419015,0.008112914152751838
1993-01-29,0.29,0.08,-0.02,0.017558131936745713,-0.0002656737255322117,0.011245534785926603,0.005363276445299103
1993-02-26,0.52,-0.4,0.1,0.01592653307793168,0.020106068804215393,0.015619613596890458,0.008915213952525702
1993-03-31,0.57,-0.3,-0.06,0.0022657286614573557,0.05409235375304844,0.017746701113047214,0.016769805539229354
1993-04-30,0.35,-0.06,0.15,0.005270061472550713,0.042689527033104246,-0.014831942285905897,-0.027058309293716443
1993-05-31,0.15,0.01,-0.27,-0.00038015983480699234,0.019524920790710887,-0.03596816950392945,0.021030263198446697
1993-06-30,0.36,0.24,0.32,0.016204558387941992,-0.011953767273525373,-0.030785330910673814,-0.0011320350827519476
1993-07-30,0.34,0.46,0.14,0.003865462175048906,0.01701811688692989,-0.012639255909526526,-0.007098842182240883
1993-08-31,0.22,0.01,-0.03,0.015641660715754124,0.04225202821281915,0.008386628229642534,0.03251589113523834
1993-09-30,0.91,0.09,-0.4,0.0010950214068503605,-0.021856864102747342,0.006875838964124359,-0.011700542025007588
1993-10-29,0.77,-0.21,-0.04,0.0020465502571600513,0.024737448128287154,-0.0405495684875381,0.016418998405200114
1993-11-30,0.41,-0.39,-0.15,-0.010225439249765267,-0.06306425560128748,-0.05236253407100022,-0.012321538316240943
1993-12-31,1.33,-0.25,0.21,0.0035340197030893084,0.04521308427717541,-0.011013051478809155,0.008197096454765518
1994-01-31,-0.07,0.55,0.28,0.011821819998147243,0.062496839686918104,0.08248427297142169,0.030706153704694872
1994-02-28,0.68,-0.19,0.33,-0.019072117024764745,-0.01626762466900955,-0.03618067107669154,-0.031723137268562684
1994-03-31,-0.69,-0.35,0.27,-0.026848391483950795,-0.046831535744357056,-0.00717780020096026,-0.047895176122082495
1994-04-29,-0.11,0.24,0.42,-0.009922235122312828,0.027058239924410588,0.022367805697078413,0.009557396789023898
1994-05-31,0.08,-0.07,0.24,-0.002574063257848702,-0.001564577638325959,0.010161742908058269,0.00993427994636753
1994-06-30,0.86,0.26,-0.41,-0.004746607315085916,-0.006933283552133518,0.01621342377407431,-0.029267821686026818
1994-07-29,0.01,-0.45,-0.04,0.017396794181500752,0.014813097016907584,0.011082536953409328,0.028996705196885353
1994-08-31,0.62,0.04,0.02,-0.0016418173592587237,0.02556146211267274,-0.06985315597128305,0.03461589156808387
1994-09-30,0.63,-0.24,-0.03,-0.017396624360122348,-0.03062065913932399,0.004037831797515823,-0.029566391455520535
1994-10-31,0.31,0.05,0.03,-0.0036619054675574025,0.01921252370969051,0.04031113877984849,0.009310370204531626
1994-11-30,0.53,0.52,0.15,-0.005180870214479105,-0.0480807256946989,-0.024662450614453046,-0.04250019471709743
1994-12-30,1.59,0.38,-0.45,0.0035853973759445434,0.0045212713694153805,0.028521893977901724,0.008962300165392678
1995-01-31,-0.24,0.04,0.21,0.01669013858660162,-0.02015847006794702,-0.02957559636794571,0.020840072602857473
1995-02-28,0.09,-0.21,-0.29,0.02062893728419457,0.009563307659036457,0.003178967324427795,0.03289152239987603
1995-03-31,0.65,0.04,0.0,0.0024043247528175993,0.04254956943176169,0.007269876586607493,0.02352320850252765
1995-04-28,0.01,-0.22,-0.26,0.010904431919833923,0.029867604830932537,0.02245290012128942,0.024856164841551287
1995-05-31,-1.22,-0.29,0.02,0.03505799188571723,0.003198212854575999,-0.01885767646000769,0.032680392314146545
1995-06-30,0.88,-0.33,-0.18,0.003921145802919801,-0.005333781018019068,-0.038216446090952316,0.0178231331604064
1995-07-31,0.31,0.07,-0.13,-0.005278657251451047,0.04077234240344718,0.013224023470075341,0.02863224380909557
1995-08-31,0.36,-0.13,0.32,0.008537132903451816,-0.0272540956245636,0.01445775337371713,-0.0038104977041998334
1995-09-29,0.83,0.25,0.04,0.006729290067871929,0.024302848042020653,7.005967559003956e-05,0.03701264080028133
1995-10-31,0.41,-0.29,0.29,0.00984446908882508,-0.02055109443111769,0.007927142058576253,-0.008234633351305032
1995-11-30,0.7,-0.15,0.44,0.011771651240780834,0.029702489644274133,0.023027301868862926,0.03775713591877006
1995-12-29,0.29,-0.25,-0.04,0.011248317817565967,0.024557197258098684,0.079729987200309,0.014500891409627625
1996-01-31,-0.32,-0.18,-0.01,0.003809458252372444,0.013289670590590497,-0.035838579854959196,0.029426447127986144
1996-02-29,0.64,-0.02,0.07,-0.019916941877699657,0.0017083488671878477,0.0017551969636264708,0.004201841525465877
1996-03-29,1.16,-0.13,0.15,-0.009863303046144023,0.012122484730697769,0.042304496707885386,0.004962835136072652
1996-04-30,0.12,0.13,0.13,-0.00867200602865359,0.01887625799132775,0.009927938634494371,0.010470300628109275
1996-05-31,0.82,-0.38,0.04,-0.005129002037721264,-0.003873814805004261,-0.029092615610292416,0.0196812109021971
1996-06-28,1.14,-0.25,0.6,0.010530846811930727,0.0006786516403136655,0.010103057515371994,-0.0006112655533433431
1996-07-31,0.12,-0.41,0.19,-0.00045442103786741406,-0.04005770497110672,-0.060481788045626206,-0.048791635996772165
1996-08-30,0.62,0.21,0.03,-0.00478858232391266,0.006767044536342137,0.01666947138415753,0.015640334866176886
1996-09-30,0.0,0.21,0.02,0.014522572533737232,0.03449839418257894,0.030806010834954156,0.0511688178516001
1996-10-31,0.09,-0.43,0.36,0.01901002851677025,0.002239788102704754,-0.0046506723765786795,0.022833627406808388
1996-11-29,0.23,-0.11,0.0,0.014405079517921138,0.051421852435091564,0.06561128609495959,0.07035851709564267
1996-12-31,2.05,-0.24,-0.22,-0.01202427960079333,-0.020427832154237935,-0.01985521342296026,-0.02433532091313062
1997-01-31,0.01,-0.35,0.22,8.931804296752333e-05,0.007350106187639316,-0.05102801587977135,0.05803065229102344
1997-02-28,0.04,0.15,-0.63,-0.00018438846063684178,0.007251728525238477,-0.0809961531911082,0.0032468252695565525
1997-03-31,0.66,1.06,-0.76,-0.013935892043640985,-0.024177606407362995,0.016183691323701455,-0.04538205149776364
1997-04-30,-0.43,-0.44,-0.3,0.011747068198783905,0.0279600027350837,0.019302622615409604,0.05505146360513535
1997-05-30,-0.3,0.51,0.07,0.006464992240540202,0.05700708038299096,8.370885237329873e-05,0.05545022417912282
1997-06-30,1.61,-0.68,-0.24,0.008933472002055742,0.045510081047468454,-0.06454405867759005,0.04042939456963923
1997-07-31,0.08,0.26,0.36,0.023763315277355312,0.04138560907813971,0.03520505597285295,0.0747674732861412
1997-08-29,0.58,-0.17,0.15,-0.01153148399364734,-0.07093656307311358,0.015024992379688129,-0.06030653591787771
1997-09-30,0.88,0.32,-0.33,0.011794070996880013,0.04981872563442069,0.027472280009377625,0.05009295497855515
1997-10-31,0.12,-0.52,0.41,0.011400905224634883,-0.05692582321950368,0.028522246652322725,-0.03757587578637134
1997-11-28,-0.09,-0.07,-0.04,0.0020004213698674445,0.013452602384417922,-0.09600529524471957,0.04173296021683681
1997-12-31,0.86,-0.23,-0.22,0.006855202560119844,0.007526540462605258,-0.07221770784318737,0.012501137862146239
1998-01-30,0.3,0.16,-0.07,0.009981365433471279,0.02339795036354797,-0.01054227297043453,0.007300473205556157
1998-02-27,0.06,0.22,-0.13,-0.0034605965072189715,0.06333452928263728,-0.05516819397045314,0.06755932106695983
1998-03-31,0.07,-0.22,0.65,0.0003280686199653715,0.037793045081458754,0.006664389339601673,0.04669992614737639
1998-04-30,-0.26,-0.44,0.63,0.0022952173808550302,0.005527658019355508,-0.019770493151754387,0.006141289641831804
1998-05-29,0.64,0.47,0.46,0.00665970051264364,-0.01659694555994573,-0.03704351354613733,-0.021577000783112088
1998-06-30,0.87,-0.13,-0.07,0.005390126582289101,0.019424306775218447,-0.022405241440345947,0.036256892872023716
1998-07-31,-0.27,0.41,-0.22,-0.0009391084604390976,-0.0059528402279900305,-0.07756546922661156,-0.014641718288840089
1998-08-31,-0.19,2.43,-0.87,0.01334707143066649,-0.13703194490030512,-0.04901257136120141,-0.14827772497623892
1998-09-30,2.35,0.17,0.42,0.020650537959253423,0.013445456960485602,0.11968738439625093,0.05953003330224549
1998-10-30,-0.8,0.71,-0.85,-0.007586058928014672,0.08642472358047115,-0.03669031171952075,0.07767901183637571
1998-11-30,1.21,0.72,0.37,0.003304050408921677,0.05550322397601737,-0.10328414501851901,0.056515925236755304
1998-12-31,1.85,0.06,-1.97,0.00029595895436473896,0.0447196492882469,-0.006152352211893475,0.053527016100833436
1999-01-29,0.19,-0.6,0.42,0.004817674978585984,0.018177402596383896,0.014575318510636981,0.0386159406729647
1999-02-26,0.03,0.45,-0.32,-0.019780442951989774,-0.030116884357580864,-0.03524470323963358,-0.03457310143371084
1999-03-31,-0.01,0.22,0.25,0.0026667485002320745,0.03751737248255904,0.17343274968459,0.03582828926616388
1999-04-30,0.69,-0.4,-0.09,0.0006432523066115525,0.035597805917542136,0.04311757587482834,0.035335858410101784
1999-05-31,-0.07,-0.66,0.53,-0.011258718914815447,-0.040149896238977134,-0.05679189228762116,-0.027431526801600103
1999-06-30,1.01,-1.48,1.2,-0.00599435933172876,0.042606967248658645,0.07018504647700086,0.05147490594736559
1999-07-30,1.54,-0.19,0.5,-0.006928729562265645,-0.0068690162258382426,0.03279087318687335,-0.034646417872496005
1999-08-31,0.26,-0.12,0.85,-0.0034226724121773078,-0.005772311455217394,0.07048982071196197,-0.009152356113824367
1999-09-30,0.36,-0.86,0.33,0.008823610132144388,-0.013621380995494814,0.04907536698352133,-0.03123223121237506
1999-10-29,-1.0,-0.39,1.05,0.0009484728230511053,0.04789708244917201,-0.05335143546059873,0.05950642711049414
1999-11-30,-0.23,1.33,-0.43,-0.0029214228010514542,0.023903525396383074,0.04248241398023356,0.016015601849578287
1999-12-31,1.32,0.33,0.37,-0.008021001317595089,0.07634704048866547,0.02241059624530939,0.05445317233573976
2000-01-31,-2.86,-0.41,-0.32,-0.00625327836759515,-0.061122702459297185,0.05763886755163705,-0.05374740624530561
2000-02-29,1.97,-0.71,1.86,0.008934263543430854,-0.0015453321648947194,0.04347017145112608,-0.02317202474566038
2000-03-31,0.27,0.02,1.46,0.009440690092887394,0.06422279181572543,-0.04579274617522888,0.09269238993429019
2000-04-28,2.33,-0.08,1.2,-0.005882119288007859,-0.0462338529695403,-0.020730528260490155,-0.03373495922641001
2000-05-31,0.05,0.53,0.11,-0.0040392037009850945,-0.029899905443067865,0.09447714940942631,-0.025422233151480622
2000-06-30,1.84,-1.51,0.38,0.017220389122251323,0.029040857467101278,0.052347510067255465,0.02033832720266293
2000-07-31,0.77,-0.41,0.52,0.005697456963884573,-0.03193149410524376,-0.09802294862412075,-0.019640466081227825
2000-08-31,0.16,-0.66,1.2,0.010495435501057138,0.02750014957025182,0.14116274756216285,0.05652661010541005
2000-09-29,0.7,1.28,-0.87,0.0028915114477670034,-0.05744829081541536,-0.03158085095599095,-0.05668664981576099
2000-10-31,0.59,-1.66,0.83,0.0029847916733947155,-0.021414307728505944,-0.007009081146996832,-0.008712155465281923
2000-11-30,-0.67,1.5,1.36,0.012647321744834183,-0.0652797821014427,0.07916150531910127,-0.08343690709356721
2000-12-29,-0.21,1.45,-0.01,0.015246147216557704,0.011688292824532986,-0.04003304099776939,0.0007930063328438486
2001-01-31,0.41,0.28,0.55,0.01326740603564458,0.016675636726300347,-0.08359985093210998,0.03149724934728804
2001-02-28,0.44,0.81,1.09,0.0060862229667979495,-0.08798398003410357,-0.024521355109002663,-0.09466609553728422
2001-03-30,1.66,-0.6,0.12,0.002280081334237849,-0.069887743467268,-0.044280975661123656,-0.0667650078368599
2001-04-30,0.73,-0.51,-1.11,-0.006308273832842604,0.0699625632845482,0.05174403798133653,0.07448977625110254
2001-05-31,-0.29,-0.16,-0.55,0.00379470055495168,-0.017228073165728053,-0.03162652666471,0.0028549512691984358
2001-06-29,2.45,-0.89,-1.02,0.001727853939342383,-0.03435934912596639,-0.07064809573887842,-0.02699813538345952
2001-07-31,-0.51,0.12,0.14,0.020256509103594,-0.01606653978657624,-0.006707874855657936,-0.012808450053222176
2001-08-31,-0.39,0.29,-0.83,0.009263986867366514,-0.05155310761327425,0.00418237954658629,-0.06613929349718328
2001-09-28,0.4,0.51,-0.5,0.010455228593145183,-0.09061901408145301,-0.10599502485253764,-0.08274890413020497
2001-10-31,1.36,-0.22,-0.99,0.019576887154697742,0.017145983932468356,-0.03621260853811559,0.016693088697728786
2001-11-30,-0.2,0.29,0.22,-0.014814027033905997,0.05681945763586316,-0.03415863733083979,0.07400801480092412
2001-12-31,0.21,0.78,-0.24,-0.007286295574106094,0.004607646060019954,-0.003403482028808358,0.006625318376185296
2002-01-31,-0.59,0.23,0.34,0.00712381214153579,-0.03201463237591018,-0.0194589948089946,-0.016523140917234502
2002-02-28,-0.27,0.53,0.18,0.008773166350498851,-0.010912795255041297,0.06231172726397172,-0.021657869137457597
2002-03-29,-0.16,0.31,-0.42,-0.01766185997656422,0.04136743217703165,0.13877487990057902,0.03571018487607103
2002-04-30,0.54,0.12,0.06,0.018326268338433094,-0.036234393036528534,0.013871920427608986,-0.06240263811368052
2002-05-31,-0.16,0.22,0.6,0.007436548122789155,-0.0015117980140315623,-0.049697273423064625,-0.010124121070418934
2002-06-28,0.08,1.82,-0.18,0.007698488178613072,-0.06291940251610051,0.0427113141931148,-0.07334038564148893
2002-07-31,-2.54,0.03,0.49,0.01102925759863238,-0.08609076574551056,0.0020699886907120657,-0.0799432793419127
2002-08-30,-0.41,0.89,1.45,0.01588520586829545,-0.0009471769668119023,0.05710067219763815,0.0038934995812207607
2002-09-30,1.46,-0.42,0.17,0.01528046171231856,-0.11209382749402286,0.056176021540562004,-0.11083120455665096
2002-10-31,0.26,0.37,-0.89,-0.005512365222391069,0.07167206410402494,-0.0453644059903513,0.08536126045649417
2002-11-29,-0.66,0.52,-0.46,-0.0009133752400044548,0.05177087588786922,-0.0002879492665502914,0.056352113896086964
2002-12-31,0.03,0.61,-0.78,0.019954109737450487,-0.050190073210850006,0.0803847370551416,-0.06098117102730649
2003-01-31,-0.3,0.26,0.8,0.00017729374193131697,-0.03193478478957057,0.07708389441738728,-0.028072909258033074
2003-02-28,-0.69,0.21,-0.47,0.013218486403908658,-0.01967956171116425,0.09844681005841638,-0.017603850074434657
2003-03-31,0.75,0.44,0.82,-0.0014241362466194118,-0.006269187860703518,-0.16673062795494753,0.007698232545176653
2003-04-30,0.76,0.28,-0.35,0.007591830646422881,0.08564149877095195,-0.07225315469876858,0.08033899560867774
2003-05-30,0.24,0.07,-0.44,0.018016787469520068,0.05385096456658367,0.09024070994641198,0.05025154303305146
2003-06-30,-0.12,0.42,-0.03,-0.002513760647061325,0.0151097553452193,-0.009191839289176884,0.010786723447214097
2003-07-31,0.26,0.4,-0.29,-0.03414438511935969,0.018607038278273702,-0.0007418545833719481,0.01567273173315087
2003-08-29,-0.31,0.34,0.12,0.0060870152806566935,0.019198078043255906,0.039329320705580484,0.0173151066539583
2003-09-30,-0.05,0.15,-0.78,0.025914663523775694,0.004200325926639881,-0.04104210057457647,-0.01248045417827992
2003-10-31,-0.54,-0.09,-0.58,-0.009879779582930293,0.05772609246060134,0.02457140698368865,0.05434770958697355
2003-11-28,0.27,-0.15,0.59,0.0019320702960743397,0.013305527911037895,0.030164692637870694,0.006637309943965164
